date,file,source_soundings,box_qc0_candidates,overpass_min_hour_utc,overpass_max_hour_utc
2016-10-11,oco2_LtCO2_161011_B11210Ar_240829173315s.nc4,169517,0,,
2016-10-12,oco2_LtCO2_161012_B11210Ar_240829173600s.nc4,184222,0,,
2016-10-13,oco2_LtCO2_161013_B11210Ar_240829174036s.nc4,198150,0,,
2016-10-14,oco2_LtCO2_161014_B11210Ar_240829174404s.nc4,151728,0,,
2016-10-15,oco2_LtCO2_161015_B11210Ar_240829174708s.nc4,145503,0,,
2016-10-16,oco2_LtCO2_161016_B11210Ar_240829175015s.nc4,180457,0,,
2016-10-17,oco2_LtCO2_161017_B11210Ar_240829175315s.nc4,153914,0,,
2016-10-18,oco2_LtCO2_161018_B11210Ar_240829175609s.nc4,173721,0,,
2016-10-19,oco2_LtCO2_161019_B11210Ar_240829180033s.nc4,166641,0,,
2016-10-20,oco2_LtCO2_161020_B11210Ar_240829180206s.nc4,185599,0,,
2016-10-21,oco2_LtCO2_161021_B11210Ar_240829180509s.nc4,152583,508,20.96,20.97
2016-10-22,oco2_LtCO2_161022_B11210Ar_240829180809s.nc4,156765,0,,
2016-10-23,oco2_LtCO2_161023_B11210Ar_240829181110s.nc4,169573,0,,
2016-10-24,oco2_LtCO2_161024_B11210Ar_240829181544s.nc4,171441,0,,
2016-10-25,oco2_LtCO2_161025_B11210Ar_240829181712s.nc4,158121,0,,
2016-10-26,oco2_LtCO2_161026_B11210Ar_240829182040s.nc4,157655,0,,
2016-10-27,oco2_LtCO2_161027_B11210Ar_240829182453s.nc4,172231,0,,
2016-10-28,oco2_LtCO2_161028_B11210Ar_240829182556s.nc4,149749,77,21.07,21.07
2016-10-30,oco2_LtCO2_161030_B11210Ar_240829183241s.nc4,177994,1,20.89,20.89
2016-10-31,oco2_LtCO2_161031_B11210Ar_240829183443s.nc4,176158,0,,
2016-11-01,oco2_LtCO2_161101_B11210Ar_240829170448s.nc4,173685,0,,
2016-11-02,oco2_LtCO2_161102_B11210Ar_240829170827s.nc4,166866,0,,
2016-11-03,oco2_LtCO2_161103_B11210Ar_240829171112s.nc4,192860,0,,
2016-11-04,oco2_LtCO2_161104_B11210Ar_240829171243s.nc4,146094,0,,
2016-11-05,oco2_LtCO2_161105_B11210Ar_240829171712s.nc4,155050,0,,
2016-11-06,oco2_LtCO2_161106_B11210Ar_240829171908s.nc4,169808,0,,
2016-11-08,oco2_LtCO2_161108_B11210Ar_240829172529s.nc4,144530,0,,
2016-11-09,oco2_LtCO2_161109_B11210Ar_240829172824s.nc4,128721,0,,
2016-11-10,oco2_LtCO2_161110_B11210Ar_240829172943s.nc4,188560,0,,
2016-11-11,oco2_LtCO2_161111_B11210Ar_240829173412s.nc4,160444,6283,21.22,21.32
2016-11-12,oco2_LtCO2_161112_B11210Ar_240829173900s.nc4,162316,0,,
2016-11-13,oco2_LtCO2_161113_B11210Ar_240829174226s.nc4,186992,0,,
2016-11-14,oco2_LtCO2_161114_B11210Ar_240829174538s.nc4,197708,0,,
2016-11-15,oco2_LtCO2_161115_B11210Ar_240829174846s.nc4,154718,0,,
2016-11-16,oco2_LtCO2_161116_B11210Ar_240829175021s.nc4,138590,0,,
2016-11-17,oco2_LtCO2_161117_B11210Ar_240829175434s.nc4,174336,0,,
2016-11-18,oco2_LtCO2_161118_B11210Ar_240829175606s.nc4,160322,0,,
2016-11-19,oco2_LtCO2_161119_B11210Ar_240829175905s.nc4,147971,0,,
2016-11-20,oco2_LtCO2_161120_B11210Ar_240829180339s.nc4,145808,0,,
2016-11-21,oco2_LtCO2_161121_B11210Ar_240829180633s.nc4,156897,0,,
2016-11-22,oco2_LtCO2_161122_B11210Ar_240829180942s.nc4,146888,274,20.97,20.97
2016-11-23,oco2_LtCO2_161123_B11210Ar_240829181240s.nc4,136306,0,,
2016-11-24,oco2_LtCO2_161124_B11210Ar_240829181403s.nc4,170128,465,20.78,20.79
2016-11-25,oco2_LtCO2_161125_B11210Ar_240829181718s.nc4,169945,0,,
2016-11-26,oco2_LtCO2_161126_B11210Ar_240829182138s.nc4,134592,0,,
2016-11-27,oco2_LtCO2_161127_B11210Ar_240829182329s.nc4,138907,0,,
2016-11-28,oco2_LtCO2_161128_B11210Ar_240829182620s.nc4,164439,0,,
2016-11-29,oco2_LtCO2_161129_B11210Ar_240829183115s.nc4,152386,471,21.07,21.08
2016-11-30,oco2_LtCO2_161130_B11210Ar_240829183242s.nc4,146721,0,,
2016-12-01,oco2_LtCO2_161201_B11210Ar_240829170509s.nc4,192828,200,20.88,20.9
2016-12-02,oco2_LtCO2_161202_B11210Ar_240829170806s.nc4,159895,0,,
2016-12-03,oco2_LtCO2_161203_B11210Ar_240829170928s.nc4,138068,0,,
2016-12-04,oco2_LtCO2_161204_B11210Ar_240829171211s.nc4,150207,0,,
2016-12-05,oco2_LtCO2_161205_B11210Ar_240829171451s.nc4,194386,0,,
2016-12-06,oco2_LtCO2_161206_B11210Ar_240829171750s.nc4,138252,0,,
